MAGs	total_length	phylum	class
TARA_IOS_MAG_00011-MAP.txt	1769542	Actinobacteria	Actinobacteria
TARA_ANE_MAG_00076-MAP.txt	1184128	Actinobacteria	Actinobacteria
TARA_ANW_MAG_00052-MAP.txt	1364737	Actinobacteria	Actinobacteria
TARA_IOS_MAG_00027-MAP.txt	2156714	Actinobacteria	Actinobacteria
TARA_PSW_MAG_00066-MAP.txt	2033721	Actinobacteria	Actinobacteria
TARA_MED_MAG_00024-MAP.txt	1872758	Actinobacteria	Actinobacteria
TARA_MED_MAG_00023-MAP.txt	1928213	Actinobacteria	Actinobacteria
TARA_ASE_MAG_00014-MAP.txt	1584976	Actinobacteria	Actinobacteria
TARA_ANE_MAG_00074-MAP.txt	2017898	Actinobacteria	Actinobacteria
TARA_PSW_MAG_00017-MAP.txt	5964731	Actinobacteria	Actinobacteria
TARA_IOS_MAG_00046-MAP.txt	1601565	Actinobacteria	Actinobacteria
TARA_ASE_MAG_00004-MAP.txt	2390320	Actinobacteria	Actinobacteria
TARA_ANE_MAG_00007-MAP.txt	2448482	Actinobacteria	Actinobacteria
TARA_PSW_MAG_00049-MAP.txt	1821452	Actinobacteria	Actinobacteria
TARA_ASW_MAG_00015-MAP.txt	1186771	Actinobacteria	Actinobacteria
TARA_MED_MAG_00078-MAP.txt	1717290	Actinobacteria	Actinobacteria
TARA_MED_MAG_00048-MAP.txt	1531502	Actinobacteria	Actinobacteria
TARA_MED_MAG_00029-MAP.txt	2295313	Actinobacteria	Actinobacteria
TARA_ANE_MAG_00059-MAP.txt	1921614	Actinobacteria	Actinobacteria
TARA_IOS_MAG_00033-MAP.txt	2003483	Actinobacteria	Actinobacteria
TARA_ION_MAG_00055-MAP.txt	1230383	Actinobacteria	Actinobacteria
TARA_ANW_MAG_00054-MAP.txt	1415007	Actinobacteria	Actinobacteria
TARA_ASW_MAG_00025-MAP.txt	860883	Actinobacteria	Actinobacteria
TARA_RED_MAG_00083-MAP.txt	1203399	Actinobacteria	Actinobacteria
TARA_PON_MAG_00009-MAP.txt	1930128	Actinobacteria	Actinobacteria
TARA_MED_MAG_00131-MAP.txt	2598506	Actinobacteria	Actinobacteria
TARA_ION_MAG_00028-MAP.txt	1032139	Actinobacteria	Actinobacteria
TARA_PSE_MAG_00046-MAP.txt	1919891	Actinobacteria	Actinobacteria
TARA_ASW_MAG_00010-MAP.txt	2239951	Actinobacteria	Actinobacteria
TARA_RED_MAG_00048-MAP.txt	2804542	Actinobacteria	Actinobacteria
TARA_ANW_MAG_00062-MAP.txt	2164139	Actinobacteria	Actinobacteria
TARA_ION_MAG_00015-MAP.txt	2980441	Actinobacteria	Actinobacteria
TARA_PSE_MAG_00052-MAP.txt	1753804	Actinobacteria	Actinobacteria
TARA_ANW_MAG_00060-MAP.txt	1006534	Actinobacteria	Actinobacteria
TARA_ASW_MAG_00026-MAP.txt	2014761	Actinobacteria	Actinobacteria
TARA_PSE_MAG_00091-MAP.txt	1295258	Actinobacteria	Actinobacteria
TARA_PSE_MAG_00041-MAP.txt	1114913	Actinobacteria	Actinobacteria
TARA_PSW_MAG_00074-MAP.txt	1189144	Proteobacteria	Alphaproteobacteria
TARA_MED_MAG_00103-MAP.txt	1716554	Proteobacteria	Alphaproteobacteria
TARA_ASE_MAG_00022-MAP.txt	2274327	Proteobacteria	Alphaproteobacteria
TARA_PSW_MAG_00048-MAP.txt	1681719	Proteobacteria	Alphaproteobacteria
TARA_ANE_MAG_00032-MAP.txt	1808585	Proteobacteria	Alphaproteobacteria
TARA_ANE_MAG_00035-MAP.txt	866617	Proteobacteria	Alphaproteobacteria
TARA_ION_MAG_00074-MAP.txt	2827442	Proteobacteria	Alphaproteobacteria
TARA_ANE_MAG_00002-MAP.txt	3133556	Proteobacteria	Alphaproteobacteria
TARA_PSE_MAG_00073-MAP.txt	772086	Proteobacteria	Alphaproteobacteria
TARA_PSW_MAG_00084-MAP.txt	2974357	Proteobacteria	Alphaproteobacteria
TARA_PSE_MAG_00027-MAP.txt	3567538	Proteobacteria	Alphaproteobacteria
TARA_ANW_MAG_00001-MAP.txt	3686209	Proteobacteria	Alphaproteobacteria
TARA_RED_MAG_00001-MAP.txt	2849757	Proteobacteria	Alphaproteobacteria
TARA_MED_MAG_00104-MAP.txt	740412	Proteobacteria	Alphaproteobacteria
TARA_IOS_MAG_00023-MAP.txt	4138368	Proteobacteria	Alphaproteobacteria
TARA_ANE_MAG_00017-MAP.txt	853034	Proteobacteria	Alphaproteobacteria
TARA_MED_MAG_00081-MAP.txt	731674	Proteobacteria	Alphaproteobacteria
TARA_PSW_MAG_00098-MAP.txt	715149	Proteobacteria	Alphaproteobacteria
TARA_IOS_MAG_00008-MAP.txt	3359870	Proteobacteria	Alphaproteobacteria
TARA_PSW_MAG_00115-MAP.txt	2686481	Proteobacteria	Alphaproteobacteria
TARA_RED_MAG_00103-MAP.txt	2983347	Proteobacteria	Alphaproteobacteria
TARA_MED_MAG_00032-MAP.txt	1252970	Proteobacteria	Alphaproteobacteria
TARA_ASE_MAG_00010-MAP.txt	3184547	Proteobacteria	Alphaproteobacteria
TARA_PSE_MAG_00092-MAP.txt	619516	Proteobacteria	Alphaproteobacteria
TARA_MED_MAG_00059-MAP.txt	1210435	Proteobacteria	Alphaproteobacteria
TARA_MED_MAG_00091-MAP.txt	1929551	Proteobacteria	Alphaproteobacteria
TARA_ANE_MAG_00009-MAP.txt	5226535	Proteobacteria	Alphaproteobacteria
TARA_PSE_MAG_00084-MAP.txt	749413	Proteobacteria	Alphaproteobacteria
TARA_ANE_MAG_00069-MAP.txt	2090499	Proteobacteria	Alphaproteobacteria
TARA_PSE_MAG_00002-MAP.txt	3411210	Proteobacteria	Alphaproteobacteria
TARA_PSW_MAG_00040-MAP.txt	3100748	Proteobacteria	Alphaproteobacteria
TARA_ANE_MAG_00050-MAP.txt	958701	Proteobacteria	Alphaproteobacteria
TARA_PSW_MAG_00077-MAP.txt	1568171	Proteobacteria	Alphaproteobacteria
TARA_ANW_MAG_00038-MAP.txt	754332	Proteobacteria	Alphaproteobacteria
TARA_ASW_MAG_00002-MAP.txt	4012046	Proteobacteria	Alphaproteobacteria
TARA_IOS_MAG_00060-MAP.txt	2848082	Proteobacteria	Alphaproteobacteria
TARA_ANW_MAG_00064-MAP.txt	1194586	Proteobacteria	Alphaproteobacteria
